package,version,riskLevel,riskScore,toolCount,hasPostInstall,typosquatRisk,scannedAt
@decido/frubeala-mcp,4.0.4,CLEAN,0,0,false,false,2026-04-28T03:51:10.321Z
@decodo/mcp-server,1.2.1,CLEAN,0,0,false,false,2026-04-28T03:51:11.338Z
@deerdawn/mcp-server,1.0.2,CLEAN,0,77,false,false,2026-04-28T03:51:12.405Z
@deloc/mcp,0.1.20,MEDIUM,15,0,false,false,2026-04-28T03:51:13.412Z
@delorenj/mcp-server-trello,1.7.1,CLEAN,0,0,false,false,2026-04-28T03:51:14.232Z
@department-of-veterans-affairs/vads-mcp-server,0.4.1,LOW,5,0,false,false,2026-04-28T03:51:15.196Z
@descope/mcp-express,1.4.1,CLEAN,0,4,false,false,2026-04-28T03:51:16.141Z
@dev-flow-tech/mcp-server,4.15.0,CLEAN,0,0,false,false,2026-04-28T03:51:17.105Z
@devabdultech/hn-mcp-server,1.2.2,CLEAN,0,18,false,false,2026-04-28T03:51:18.102Z
@deveco-codegenie/mcp,0.1.8-fix4,CLEAN,0,0,false,false,2026-04-28T03:51:18.818Z
@deveco-codegenie/mcp-bridge,0.1.8-fix2,CLEAN,0,0,false,false,2026-04-28T03:51:20.013Z
@developer-smallestai/smallest-mcp-server,0.7.1,CLEAN,0,0,false,false,2026-04-28T03:51:20.912Z
@dialpad/dialtone-mcp-server,1.3.0,CLEAN,0,0,false,false,2026-04-28T03:51:22.286Z
@didit-protocol/mcp-server,3.0.3,CRITICAL,100,100,false,false,2026-04-28T03:51:23.358Z
@diegoaltoworks/localize-remote-mcp-server,1.1.2,CLEAN,0,0,false,false,2026-04-28T03:51:24.313Z
@digilac/simap-mcp,1.2.1,CLEAN,0,0,false,false,2026-04-28T03:51:25.282Z
@digitalocean/mcp,1.0.50,CLEAN,0,0,false,false,2026-04-28T03:51:27.361Z
@dinanathdash/envault-mcp-server,1.12.0,CRITICAL,100,23,true,false,2026-04-28T03:51:28.385Z
@discourse/mcp,0.1.10,LOW,10,0,false,false,2026-04-28T03:51:29.211Z
@diskd-ai/email-mcp,0.3.8,MEDIUM,35,0,false,false,2026-04-28T03:51:30.465Z
@diviops/mcp-server,0.2.20,LOW,10,0,false,false,2026-04-28T03:51:31.426Z
@doctor-blue/azure_devops_mcp,1.0.4,LOW,5,32,false,false,2026-04-28T03:51:32.530Z
@doitintl/doit-mcp-server,0.11.0,CRITICAL,75,102,false,false,2026-04-28T03:51:33.404Z
@dokploy/mcp,0.29.2,CRITICAL,100,1048,false,false,2026-04-28T03:51:34.771Z
@dollhousemcp/mcp-server,2.0.32,HIGH,50,0,false,false,2026-04-28T03:51:36.287Z
@donotdev/mcp-server,0.1.2,HIGH,40,36,false,false,2026-04-28T03:51:37.315Z
@dopehunter/n8n-mcp-server,0.1.0,LOW,10,0,false,false,2026-04-28T03:51:38.250Z
@dopost/mcp-server,1.0.1,CLEAN,0,0,false,false,2026-04-28T03:51:39.238Z
